County_State,County,State,SVI_CTGY,Metro_status,Census2019,FIPS,Census2019_65PlusPop,Census2019_18to64Pop
tallahatchie_ms,Tallahatchie County,MS,4.0,0.0,13809.0,28135,2107.0,8997.0
graham_ks,Graham County,KS,1.0,0.0,2482.0,20065,695.0,1274.0
oceana_mi,Oceana County,MI,4.0,0.0,26467.0,26127,5647.0,14909.0
arlington_va,Arlington County,VA,1.0,1.0,236842.0,51013,26282.0,167606.0
surry_va,Surry County,VA,2.0,0.0,6422.0,51181,1532.0,3827.0
mclean_ky,McLean County,KY,2.0,1.0,9207.0,21149,1838.0,5201.0
webb_tx,Webb County,TX,4.0,1.0,276652.0,48479,26921.0,160075.0
mcintosh_ga,McIntosh County,GA,3.0,1.0,14378.0,13191,4046.0,8065.0
ada_id,Ada County,ID,1.0,1.0,481587.0,16001,71958.0,297899.0
herkimer_ny,Herkimer County,NY,3.0,1.0,61319.0,36043,13017.0,35776.0
unknown_nd,Unknown County,ND,,,,UNK,,
montague_tx,Montague County,TX,3.0,0.0,19818.0,48337,4444.0,10925.0
saguache_co,Saguache County,CO,4.0,0.0,6824.0,08109,1674.0,3707.0
monroe_al,Monroe County,AL,3.0,0.0,20733.0,01099,4385.0,11975.0
taliaferro_ga,Taliaferro County,GA,4.0,0.0,1537.0,13265,431.0,847.0
montgomery_in,Montgomery County,IN,2.0,0.0,38338.0,18107,7020.0,22623.0
jackson_mn,Jackson County,MN,1.0,0.0,9846.0,27063,2275.0,5466.0
genesee_ny,Genesee County,NY,1.0,0.0,57280.0,36037,11050.0,34624.0
isabella_mi,Isabella County,MI,3.0,0.0,69872.0,26073,9241.0,48507.0
pike_oh,Pike County,OH,4.0,0.0,27772.0,39131,5063.0,16223.0
ward_tx,Ward County,TX,3.0,0.0,11998.0,48475,1629.0,6909.0
adams_id,Adams County,ID,2.0,0.0,4294.0,16003,1284.0,2265.0
simpson_ms,Simpson County,MS,4.0,1.0,26658.0,28127,4824.0,15635.0
pushmataha_ok,Pushmataha County,OK,4.0,0.0,11096.0,40127,2620.0,6048.0
morgan_ga,Morgan County,GA,1.0,1.0,19276.0,13211,3944.0,10994.0
dyer_tn,Dyer County,TN,4.0,0.0,37159.0,47045,6670.0,21664.0
cheyenne_ne,Cheyenne County,NE,1.0,0.0,8910.0,31033,1834.0,5047.0
ralls_mo,Ralls County,MO,1.0,0.0,10309.0,29173,2293.0,5842.0
escambia_fl,Escambia County,FL,2.0,1.0,318316.0,12033,54571.0,197514.0
kearney_ne,Kearney County,NE,1.0,0.0,6495.0,31099,1287.0,3600.0
claiborne_tn,Claiborne County,TN,3.0,0.0,31959.0,47025,6477.0,19379.0
anderson_ky,Anderson County,KY,2.0,0.0,22747.0,21005,3710.0,13692.0
scott_in,Scott County,IN,2.0,1.0,23873.0,18143,4074.0,14434.0
marshall_tn,Marshall County,TN,3.0,0.0,34375.0,47117,5621.0,20814.0
unknown_ma,Unknown County,MA,,,,UNK,,
honolulu_hi,Honolulu County,HI,2.0,1.0,974563.0,15003,177668.0,592024.0
taylor_tx,Taylor County,TX,3.0,1.0,138034.0,48441,20131.0,83653.0
schoharie_ny,Schoharie County,NY,2.0,1.0,30999.0,36095,7047.0,18581.0
newton_ms,Newton County,MS,4.0,0.0,21018.0,28101,3585.0,12123.0
irion_tx,Irion County,TX,1.0,1.0,1536.0,48235,328.0,862.0
johnson_ne,Johnson County,NE,3.0,0.0,5071.0,31097,965.0,3155.0
perry_mo,Perry County,MO,1.0,0.0,19136.0,29157,3680.0,11060.0
ritchie_wv,Ritchie County,WV,2.0,0.0,9554.0,54085,2195.0,5484.0
hall_ne,Hall County,NE,3.0,1.0,61353.0,31079,9263.0,35172.0
divide_nd,Divide County,ND,1.0,0.0,2264.0,38023,574.0,1160.0
cecil_md,Cecil County,MD,2.0,1.0,102855.0,24015,16676.0,63073.0
douglas_co,Douglas County,CO,1.0,1.0,351154.0,08035,43602.0,219185.0
washington_pa,Washington County,PA,1.0,1.0,206865.0,42125,43541.0,123168.0
natrona_wy,Natrona County,WY,2.0,1.0,79858.0,56025,12717.0,48020.0
mississippi_mo,Mississippi County,MO,4.0,0.0,13180.0,29133,2393.0,8043.0
monroe_wv,Monroe County,WV,2.0,0.0,13275.0,54063,3376.0,7319.0
highland_oh,Highland County,OH,3.0,0.0,43161.0,39071,8168.0,24806.0
passaic_nj,Passaic County,NJ,4.0,1.0,501826.0,34031,75180.0,307628.0
mobile_al,Mobile County,AL,4.0,1.0,413210.0,01097,68742.0,248126.0
shelby_ia,Shelby County,IA,1.0,0.0,11454.0,19165,2645.0,6237.0
pickens_al,Pickens County,AL,4.0,1.0,19930.0,01107,3886.0,12180.0
suffolk_ny,Suffolk County,NY,1.0,1.0,1476601.0,36103,255941.0,911562.0
deer lodge_mt,Deer Lodge County,MT,2.0,0.0,9140.0,30023,2242.0,5646.0
eau claire_wi,Eau Claire County,WI,1.0,1.0,104646.0,55035,16958.0,66602.0
douglas_wi,Douglas County,WI,2.0,1.0,43150.0,55031,8288.0,26418.0
buffalo_wi,Buffalo County,WI,1.0,0.0,13031.0,55011,2967.0,7399.0
perry_ar,Perry County,AR,3.0,1.0,10455.0,05105,2142.0,5955.0
marlboro_sc,Marlboro County,SC,4.0,0.0,26118.0,45069,4861.0,16073.0
union_sd,Union County,SD,1.0,1.0,15932.0,46127,2962.0,9092.0
lumpkin_ga,Lumpkin County,GA,2.0,0.0,33610.0,13187,5987.0,21826.0
oktibbeha_ms,Oktibbeha County,MS,3.0,0.0,49587.0,28105,5953.0,34894.0
hampshire_wv,Hampshire County,WV,3.0,1.0,23175.0,54027,5430.0,13550.0
chilton_al,Chilton County,AL,4.0,1.0,44428.0,01021,7600.0,26237.0
hamblen_tn,Hamblen County,TN,4.0,1.0,64934.0,47063,12014.0,37999.0
hampshire_ma,Hampshire County,MA,1.0,1.0,160830.0,25015,28806.0,108831.0
somerset_me,Somerset County,ME,3.0,0.0,50484.0,23025,10775.0,30242.0
heard_ga,Heard County,GA,3.0,1.0,11923.0,13149,2180.0,7104.0
carter_ok,Carter County,OK,4.0,0.0,48111.0,40019,8282.0,27850.0
st. martin parish_la,St. Martin Parish,LA,4.0,1.0,53431.0,22099,8400.0,32286.0
centre_pa,Centre County,PA,2.0,1.0,162385.0,42027,24134.0,114192.0
lyon_ia,Lyon County,IA,1.0,0.0,11755.0,19119,2159.0,6294.0
grant_mn,Grant County,MN,1.0,0.0,5972.0,27051,1433.0,3190.0
van buren_tn,Van Buren County,TN,3.0,0.0,5872.0,47175,1375.0,3341.0
escambia_al,Escambia County,AL,4.0,0.0,36633.0,01053,6691.0,21716.0
morgan_il,Morgan County,IL,3.0,0.0,33658.0,17137,6803.0,20469.0
st. john the baptist parish_la,St. John the Baptist Parish,LA,3.0,1.0,42837.0,22095,6310.0,26045.0
custer_co,Custer County,CO,1.0,0.0,5068.0,08027,1673.0,2698.0
ransom_nd,Ransom County,ND,1.0,0.0,5218.0,38073,1107.0,2942.0
mccook_sd,McCook County,SD,1.0,1.0,5586.0,46087,1057.0,2977.0
sabine parish_la,Sabine Parish,LA,4.0,0.0,23884.0,22085,5061.0,13315.0
hanson_sd,Hanson County,SD,1.0,0.0,3453.0,46061,536.0,1874.0
garza_tx,Garza County,TX,3.0,0.0,6229.0,48169,719.0,4468.0
unknown_wv,Unknown County,WV,,,,UNK,,
oglethorpe_ga,Oglethorpe County,GA,3.0,1.0,15259.0,13221,2958.0,9141.0
grant_wv,Grant County,WV,2.0,0.0,11568.0,54023,2901.0,6423.0
sioux_nd,Sioux County,ND,4.0,1.0,4230.0,38085,359.0,2357.0
mcduffie_ga,McDuffie County,GA,4.0,1.0,21312.0,13189,3853.0,12159.0
baltimore city_md,Baltimore city,MD,4.0,1.0,593490.0,24510,86154.0,387636.0
mccormick_sc,McCormick County,SC,3.0,0.0,9463.0,45065,3371.0,5016.0
sanilac_mi,Sanilac County,MI,2.0,0.0,41170.0,26151,9096.0,23266.0
greene_ny,Greene County,NY,2.0,0.0,47188.0,36039,10725.0,28817.0
trempealeau_wi,Trempealeau County,WI,2.0,0.0,29649.0,55121,5469.0,16743.0
grenada_ms,Grenada County,MS,4.0,0.0,20758.0,28043,3761.0,12084.0
clark_ks,Clark County,KS,2.0,0.0,1994.0,20025,428.0,1073.0
red river parish_la,Red River Parish,LA,4.0,0.0,8442.0,22081,1660.0,4809.0
mitchell_ks,Mitchell County,KS,2.0,0.0,5979.0,20123,1444.0,3175.0
transylvania_nc,Transylvania County,NC,2.0,0.0,34385.0,37175,10809.0,18290.0
barron_wi,Barron County,WI,2.0,0.0,45244.0,55005,10213.0,25322.0
mckean_pa,McKean County,PA,3.0,0.0,40625.0,42083,8147.0,24420.0
unknown_pa,Unknown County,PA,,,,UNK,,
crawford_ga,Crawford County,GA,3.0,1.0,12404.0,13079,2411.0,7488.0
copiah_ms,Copiah County,MS,4.0,1.0,28065.0,28029,5133.0,16566.0
trigg_ky,Trigg County,KY,2.0,1.0,14651.0,21221,3394.0,8154.0
tuolumne_ca,Tuolumne County,CA,2.0,0.0,54478.0,06109,14709.0,30616.0
stewart_ga,Stewart County,GA,4.0,0.0,6621.0,13259,996.0,4908.0
roanoke_va,Roanoke County,VA,1.0,1.0,94186.0,51161,20534.0,55134.0
mathews_va,Mathews County,VA,1.0,1.0,8834.0,51115,2785.0,4670.0
mercer_oh,Mercer County,OH,1.0,0.0,41172.0,39107,7499.0,23021.0
nevada_ar,Nevada County,AR,4.0,0.0,8252.0,05099,1732.0,4635.0
seminole_fl,Seminole County,FL,1.0,1.0,471826.0,12117,75401.0,298227.0
greene_ia,Greene County,IA,1.0,0.0,8888.0,19073,2003.0,4850.0
dodge_wi,Dodge County,WI,1.0,0.0,87839.0,55027,15996.0,54670.0
white_in,White County,IN,1.0,0.0,24102.0,18181,4900.0,13601.0
calhoun_sc,Calhoun County,SC,3.0,1.0,14553.0,45017,3483.0,8344.0
jackson_co,Jackson County,CO,1.0,0.0,1392.0,08057,324.0,835.0
cloud_ks,Cloud County,KS,2.0,0.0,8786.0,20029,1896.0,4854.0
lamar_ga,Lamar County,GA,2.0,1.0,19077.0,13171,3316.0,11790.0
