County_State,n_zipcodes,pct_hesitant_02-24-22,pct_somewhat_hesitant_02-24-22,pct_highly_hesitant_02-24-22,county_vaccine,state,candidate_won,party,winner_votes,nonwinner_votes,total_votes,pct_trump,pct_biden,county_election,County,State,SVI_CTGY,Metro_status,Census2019,Census2019_65PlusPop,Census2019_18to64Pop,county_census,Administered_Dose1_Recip_030121,Administered_Dose1_Pop_Pct_030121,Series_Complete_Pop_Pct_SVI_030121,Booster_Doses_Vax_Pct_030121,Administered_Dose1_Recip_090121,Administered_Dose1_Pop_Pct_090121,Series_Complete_Pop_Pct_SVI_090121,Booster_Doses_Vax_Pct_090121,Administered_Dose1_Recip_030122,Administered_Dose1_Pop_Pct_030122,Series_Complete_Pop_Pct_SVI_030122,Booster_Doses_Vax_Pct_030122,county_checkpoint,socio_std,hh_std,minority_std,housing_std,overall_std,null_pct,uninsured_pct,socio_wgt,hh_wgt,minority_wgt,housing_wgt,overall_wgt,count,county_svi
adams_id,5.0,0.321,0.067,0.255,adams_id,ID,Donald Trump,REP,1941,645,2586,0.751,0.249,adams_id,Adams County,ID,2.0,0.0,4294.0,1284.0,2265.0,adams_id,600.0,14.0,5.0,0.0,1641.0,38.2,6.0,0.0,2043.0,47.6,7.0,47.3,adams_id,0.3527048624558499,0.1331482068974269,0.1220466304327981,0.2228800574299997,0.2519421461367669,0.0,0.1647175914406568,0.5796271709380443,0.7404961433192335,0.1166754416521522,0.5193862154764867,0.5060283901468027,2,adams_id
adams_il,22.0,0.351,0.067,0.283,adams_il,IL,Donald Trump,REP,24220,9307,33527,0.722,0.278,adams_il,Adams County,IL,1.0,0.0,65435.0,13513.0,37161.0,adams_il,18923.0,28.9,1.0,0.0,34030.0,52.0,3.0,0.0,36745.0,56.2,4.0,42.6,adams_il,0.2541085098363331,0.2131822811586366,0.117400781638845,0.2852536770340356,0.252543569851229,0.0,0.0459150646574435,0.4028554894846975,0.6575608005780782,0.114209335059539,0.4266583015942312,0.3626223704216659,18,adams_il
adams_in,8.0,0.316,0.056,0.26,adams_in,IN,Donald Trump,REP,10686,3523,14209,0.752,0.248,adams_in,Adams County,IN,3.0,0.0,35777.0,5681.0,18860.0,adams_in,4629.0,12.9,9.0,0.0,11122.0,31.1,9.0,0.0,12860.0,35.9,10.0,46.3,adams_in,0.2578039352834224,0.3093488853336033,0.1171120749335357,0.3255424637651526,0.2886833262541203,0.0,0.1863901122318511,0.5765903196476773,0.5438497229720131,0.1973777155846001,0.6247739508452905,0.534507131694843,7,adams_in
adams_ms,2.0,0.278,0.129,0.148,adams_ms,MS,Joe Biden,DEM,7917,5842,13759,0.425,0.575,adams_ms,Adams County,MS,4.0,0.0,30693.0,6005.0,18585.0,adams_ms,5313.0,17.3,13.0,0.0,15255.0,49.7,15.0,0.0,19432.0,63.3,16.0,36.9,adams_ms,0.1964061487779285,0.1756623639574257,0.1925692407940583,0.3297037041041546,0.154850942665663,0.0,0.1359558753605731,0.8517010777569975,0.7192778837924367,0.6152492566646591,0.6355219165055315,0.79809977493898,9,adams_ms
adams_nd,6.0,0.262,0.062,0.2,adams_nd,ND,Donald Trump,REP,981,288,1269,0.773,0.227,adams_nd,Adams County,ND,1.0,0.0,2216.0,632.0,1157.0,adams_nd,643.0,29.0,1.0,0.0,1028.0,46.4,3.0,0.0,1244.0,56.1,3.0,53.1,adams_nd,,,,,,0.0,0.068481497235219,0.168,0.3735,0.0761,0.6252,0.241,1,adams_nd
adams_ne,12.0,0.279,0.075,0.204,adams_ne,NE,Donald Trump,REP,10085,4568,14653,0.688,0.312,adams_ne,Adams County,NE,2.0,0.0,31363.0,5916.0,18104.0,adams_ne,638.0,2.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,62.6,adams_ne,0.2369456448452072,0.2534338462882265,0.1666145926982387,0.3767037201538867,0.2975623118683622,0.0,0.0700376784979261,0.4192500839058987,0.5531671563815976,0.37354145901276,0.4817236646297058,0.4329309438622044,9,adams_ne
adams_oh,10.0,0.256,0.1,0.156,adams_oh,OH,Donald Trump,REP,9870,2275,12145,0.813,0.187,adams_oh,Adams County,OH,4.0,0.0,27698.0,5112.0,15999.0,adams_oh,2121.0,7.7,13.0,0.0,6630.0,23.9,13.0,0.0,10702.0,38.6,14.0,40.4,adams_oh,0.092588280395883,0.0391105825406202,0.058761974666162,0.234363268595287,0.1192872778910922,0.0,0.0863763541143554,0.7815868893033934,0.9150530561733268,0.0616001650046631,0.6340874739938303,0.6907698184948705,6,adams_oh
adams_pa,17.0,0.201,0.067,0.134,adams_pa,PA,Donald Trump,REP,37523,19191,56714,0.662,0.338,adams_pa,Adams County,PA,1.0,1.0,103009.0,21730.0,60882.0,adams_pa,10619.0,10.3,1.0,0.0,53188.0,51.6,3.0,0.0,64249.0,62.4,4.0,46.5,adams_pa,0.1879268060359603,0.2503324452054301,0.1701831951778689,0.2707809009588945,0.2273338283795258,0.0,0.0568891328425943,0.4245921400076453,0.5171561275398685,0.2750072287621419,0.442481610029111,0.3926238799094322,23,adams_pa
adams_wa,10.0,0.226,0.064,0.162,adams_wa,WA,Donald Trump,REP,3907,1955,5862,0.666,0.334,adams_wa,Adams County,WA,4.0,0.0,19983.0,2264.0,10550.0,adams_wa,2208.0,11.0,13.0,0.0,9745.0,48.8,15.0,0.0,13006.0,65.1,16.0,33.4,adams_wa,0.2139104368655255,0.1319975757353142,0.3119649932284069,0.2636313941851387,0.1939257641470055,0.0,0.1932449105490438,0.8158426691342793,0.7033186150524368,0.814253475221057,0.7897351531976147,0.8620751233806292,5,adams_wa
adams_wi,14.0,0.303,0.06,0.243,adams_wi,WI,Donald Trump,REP,7362,4456,11818,0.623,0.377,adams_wi,Adams County,WI,3.0,0.0,20220.0,6098.0,11274.0,adams_wi,3605.0,17.8,9.0,0.0,10373.0,51.3,11.0,0.0,12285.0,60.8,12.0,56.7,adams_wi,0.2058620562184206,0.1198379799085892,0.1828100080619741,0.3362516206369159,0.2556414183224322,0.0,0.0507647088128331,0.6304679918298212,0.5990960942559658,0.2178586708513924,0.535983774224082,0.5285751855726598,7,adams_wi
