County_State,Administered_Dose1_Recip_030121,Administered_Dose1_Pop_Pct_030121,Series_Complete_Pop_Pct_SVI_030121,Booster_Doses_Vax_Pct_030121,Administered_Dose1_Recip_090121,Administered_Dose1_Pop_Pct_090121,Series_Complete_Pop_Pct_SVI_090121,Booster_Doses_Vax_Pct_090121,Administered_Dose1_Recip_030122,Administered_Dose1_Pop_Pct_030122,Series_Complete_Pop_Pct_SVI_030122,Booster_Doses_Vax_Pct_030122,county_checkpoint,County,State,SVI_CTGY,Metro_status,Census2019,Census2019_65PlusPop,Census2019_18to64Pop,county_census,n_zipcodes,pct_hesitant_02-24-22,pct_somewhat_hesitant_02-24-22,pct_highly_hesitant_02-24-22,county_vaccine,state,candidate_won,party,winner_votes,nonwinner_votes,total_votes,pct_trump,pct_biden,county_election
cass_nd,31541.0,17.3,1.0,0.0,97221.0,53.4,3.0,0.0,125636.0,69.1,4.0,40.8,cass_nd,Cass County,ND,1.0,1.0,181923.0,22672.0,118282.0,cass_nd,29.0,0.133,0.036,0.096,cass_nd,ND,Donald Trump,REP,42619,43434,86053,0.495,0.505,cass_nd
telfair_ga,811.0,5.1,13.0,0.0,2858.0,18.0,13.0,0.0,5268.0,33.2,13.0,33.5,telfair_ga,Telfair County,GA,4.0,0.0,15860.0,2976.0,10342.0,telfair_ga,8.0,0.228,0.095,0.133,telfair_ga,GA,Donald Trump,REP,2825,1509,4334,0.652,0.348,telfair_ga
los alamos_nm,709.0,3.7,1.0,0.0,0.0,0.0,4.0,0.0,18429.0,95.0,4.0,61.9,los alamos_nm,Los Alamos County,NM,1.0,0.0,19369.0,3503.0,11600.0,los alamos_nm,1.0,0.026,0.015,0.011,los alamos_nm,NM,Joe Biden,DEM,7554,4739,12293,0.386,0.614,los alamos_nm
russell_ks,955.0,13.9,1.0,0.0,2745.0,40.0,2.0,0.0,3261.0,47.6,3.0,42.4,russell_ks,Russell County,KS,1.0,0.0,6856.0,1694.0,3673.0,russell_ks,11.0,0.286,0.059,0.227,russell_ks,KS,Donald Trump,REP,2765,664,3429,0.806,0.194,russell_ks
giles_tn,3243.0,11.0,9.0,0.0,10391.0,35.3,10.0,0.0,13117.0,44.5,10.0,41.1,giles_tn,Giles County,TN,3.0,0.0,29464.0,6051.0,17279.0,giles_tn,17.0,0.336,0.158,0.177,giles_tn,TN,Donald Trump,REP,9784,3419,13203,0.741,0.259,giles_tn
linn_ia,38825.0,17.1,1.0,0.0,137805.0,60.8,4.0,0.0,162324.0,71.6,4.0,55.6,linn_ia,Linn County,IA,1.0,1.0,226706.0,36853.0,137614.0,linn_ia,28.0,0.176,0.047,0.13,linn_ia,IA,Joe Biden,DEM,70874,56584,127458,0.444,0.556,linn_ia
st. louis city_mo,32465.0,10.8,13.0,0.0,163591.0,54.4,15.0,0.0,214972.0,71.5,16.0,42.0,st. louis city_mo,St. Louis city,MO,4.0,1.0,300576.0,43008.0,201261.0,st. louis city_mo,29.0,0.11,0.04,0.07,st. louis city_mo,MO,Joe Biden,DEM,110089,23778,133867,0.178,0.822,st. louis city_mo
richland_nd,3133.0,19.4,1.0,0.0,7751.0,47.9,3.0,0.0,9487.0,58.6,4.0,46.1,richland_nd,Richland County,ND,1.0,0.0,16177.0,3021.0,9620.0,richland_nd,17.0,0.161,0.04,0.121,richland_nd,ND,Donald Trump,REP,5072,2740,7812,0.649,0.351,richland_nd
gulf_fl,2489.0,18.2,9.0,0.0,6767.0,49.6,11.0,0.0,8051.0,59.0,12.0,37.3,gulf_fl,Gulf County,FL,3.0,1.0,13639.0,3614.0,7533.0,gulf_fl,2.0,0.267,0.068,0.199,gulf_fl,FL,Donald Trump,REP,6113,2050,8163,0.749,0.251,gulf_fl
rankin_ms,24832.0,16.0,5.0,0.0,74209.0,47.8,7.0,0.0,88311.0,56.9,8.0,38.2,rankin_ms,Rankin County,MS,2.0,1.0,155271.0,24326.0,95548.0,rankin_ms,13.0,0.197,0.086,0.111,rankin_ms,MS,Donald Trump,REP,50895,19760,70655,0.72,0.28,rankin_ms
