index,socio_std,hh_std,minority_std,housing_std,overall_std,null_pct,uninsured_pct,socio_wgt,hh_wgt,minority_wgt,housing_wgt,overall_wgt,count
coke_tx,0.1264306924761547,0.011525840533340789,0.07424621202458752,0.028991378028648474,0.035779603128039364,0.0,0.12580152671755726,0.5794105648854961,0.8353968244274809,0.5320541984732825,0.6382306870229006,0.688455786259542,2
colbert_al,0.177952245878457,0.17998545744062183,0.12101389439796834,0.15684362549094194,0.1872005729304654,0.0,0.07987888797137352,0.6305897256629048,0.7277489329296266,0.2624282007523626,0.3289892045141756,0.5059506945591339,14
cole_mo,0.2148509246187314,0.21759978160003046,0.1338010755170668,0.23429289260199407,0.22101513350468838,0.0,0.08225175918686474,0.37783946181912953,0.5267143588741204,0.24552763617409434,0.45989302449830594,0.36323213578316393,15
coleman_tx,0.08727995187899686,0.2867928578841065,0.14060597426852103,0.20608118141483306,0.1671676104991634,0.0,0.2289357645095936,0.5828371946132762,0.7231541175068527,0.4669639733047313,0.5778555833631271,0.6196448099153856,3
coles_il,0.22652465030757624,0.3212542304874142,0.14935128485513202,0.32279166749787797,0.23048654203793778,0.0,0.061852481830833465,0.5688826523117365,0.5380335163135921,0.1596343513220968,0.6340344653626102,0.49901682580794804,12
colfax_ne,0.26807290674988654,0.11990075062317168,0.43335558532610763,0.2933563759888872,0.30968934434365025,0.0,0.11505576208178439,0.5883451672862454,0.33806337360594796,0.686723810408922,0.7118630204460967,0.63696343866171,3
colfax_nm,0.0403966582776348,0.14718968487408798,0.055334829297047035,0.10049150876234937,0.0343386565452601,0.0,0.07739010766615396,0.7640359669715858,0.7990246498826197,0.6046176313446125,0.8113111956609731,0.8381535254594026,3
colleton_sc,0.12753388874247418,0.2569795030736888,0.1820046977415693,0.17530565291639758,0.19740470767210977,0.1,0.1130217206132879,0.7617258677597956,0.694061837201874,0.4403177757666099,0.5219562553236797,0.6792142168867121,9
collier_fl,0.2803582036527616,0.17348925799827336,0.30248613454895473,0.30077582065124897,0.29081145624957244,0.0,0.1641395683690461,0.3886205791350894,0.451406169453894,0.6302410184050429,0.503595074493985,0.477334283994922,73
collin_tx,0.19228178049066832,0.17423279785674456,0.1533672416980621,0.2510302221148683,0.2126441970469237,0.0,0.10358977074178007,0.21342237676708847,0.23595955980303912,0.6445409996293747,0.27306099708794407,0.24652747731243713,152
collingsworth_tx,,,,,,0.0,0.2212950600801068,0.8016,0.8453,0.7147,0.8589,0.8934,1
colonial heights city_va,0.24740676021483327,0.14978269926797286,0.12334028133582316,0.28779916087438473,0.2904760695823324,0.0,0.08094128346501449,0.5688488376058659,0.8284258000341045,0.49967567214232933,0.20193255840391064,0.477007849712954,5
colorado_tx,0.12944053847230397,0.13992170310570123,0.1163959750163209,0.2556536426495816,0.10867038695063157,0.0,0.13400247359908668,0.4999930596517933,0.7280443249928645,0.6932984492436496,0.799913714204167,0.729431314813053,5
colquitt_ga,0.11309387889910068,0.2672980400643114,0.10516581668964489,0.24711258432814245,0.1312255399430055,0.0,0.23393851686181644,0.8062750186378985,0.7007643160987589,0.7328665899223786,0.7023340459588651,0.8243160154365654,10
columbia_ar,0.10960999042058163,0.20944475882676084,0.14589281339394344,0.2927209678174763,0.15268057178305303,0.0,0.0804871923656454,0.7782676209609911,0.7215027415034321,0.44662065544952284,0.7453053658128244,0.7782425539929684,5
columbia_fl,0.17924305214547157,0.18896595171906208,0.11071133089200395,0.2703730087557491,0.1551899217674325,0.0,0.1159250416033572,0.6842376210115042,0.7375338253382534,0.37124453368063093,0.6698288995007597,0.6938868142681427,12
columbia_ga,0.20056508400280604,0.2086683858106975,0.1781086203179929,0.2351600897037456,0.2048372817628666,0.0,0.07759258630639193,0.37660487049798025,0.44780360025798566,0.4794590311958994,0.28016795274788686,0.33714419158830916,20
columbia_ny,0.1759724598312123,0.20473619681364183,0.18205754833228394,0.24166179801335505,0.20746874291255127,0.0,0.04528964690818956,0.4153860437630296,0.5890007879315157,0.31922236412285165,0.6152210804510908,0.4852651947668215,21
