County_State,Administered_Dose1_Recip_030121,Administered_Dose1_Pop_Pct_030121,Series_Complete_Pop_Pct_SVI_030121,Booster_Doses_Vax_Pct_030121,Administered_Dose1_Recip_090121,Administered_Dose1_Pop_Pct_090121,Series_Complete_Pop_Pct_SVI_090121,Booster_Doses_Vax_Pct_090121,Administered_Dose1_Recip_030122,Administered_Dose1_Pop_Pct_030122,Series_Complete_Pop_Pct_SVI_030122,Booster_Doses_Vax_Pct_030122
ochiltree_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4298.0,43.7,10.0,21.1
panola_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10141.0,43.7,10.0,33.7
grayson_va,1599.0,10.3,9.0,0.0,3549.0,22.8,9.0,0.0,7286.0,46.9,11.0,29.6
palo pinto_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12695.0,43.5,14.0,36.3
belknap_nh,436.0,0.7,1.0,0.0,36864.0,60.1,4.0,0.0,56609.0,92.3,4.0,20.5
harper_ks,958.0,17.6,5.0,0.0,2290.0,42.1,6.0,0.0,2851.0,52.4,7.0,41.1
madison parish_la,1328.0,12.1,13.0,0.0,4255.0,38.9,14.0,0.0,5997.0,54.8,15.0,32.5
grant parish_la,2201.0,9.8,9.0,0.0,8579.0,38.3,10.0,0.0,10455.0,46.7,11.0,32.8
woodward_ok,2749.0,13.6,9.0,0.0,7353.0,36.4,10.0,0.0,8728.0,43.2,10.0,39.5
clarke_al,3799.0,16.1,13.0,0.0,11746.0,49.7,14.0,0.0,14756.0,62.5,16.0,34.2
russell_al,3987.0,6.9,13.0,0.0,20762.0,35.8,13.0,0.0,31557.0,54.4,15.0,29.0
tripp_sd,319.0,5.9,5.0,0.0,0.0,0.0,5.0,0.0,2770.0,50.9,7.0,43.9
tippecanoe_in,23126.0,11.8,5.0,0.0,104455.0,53.4,8.0,0.0,124426.0,63.6,8.0,45.3
philadelphia_pa,173020.0,10.9,13.0,0.0,1012840.0,63.9,15.0,0.0,1484208.0,93.7,16.0,28.8
izard_ar,1917.0,14.1,9.0,0.0,5012.0,36.8,9.0,0.0,5965.0,43.8,10.0,42.5
codington_sd,243.0,0.9,1.0,0.0,0.0,0.0,2.0,0.0,18307.0,65.4,4.0,45.0
alexander_nc,5329.0,14.2,9.0,0.0,15508.0,41.4,10.0,0.0,21353.0,56.9,11.0,34.6
calhoun_al,10226.0,9.0,13.0,0.0,42267.0,37.2,14.0,0.0,64415.0,56.7,15.0,34.6
coles_il,7494.0,14.8,5.0,0.0,22303.0,44.1,6.0,0.0,25145.0,49.7,7.0,48.7
pickens_sc,17844.0,14.1,9.0,0.0,55298.0,43.6,10.0,0.0,66807.0,52.7,11.0,41.4
gallatin_il,1030.0,21.3,5.0,0.0,2504.0,51.9,7.0,0.0,2946.0,61.0,8.0,43.9
perkins_ne,404.0,14.0,1.0,0.0,0.0,0.0,2.0,0.0,1186.0,41.0,3.0,50.3
sioux_ia,4977.0,14.3,1.0,0.0,13230.0,38.0,2.0,0.0,15557.0,44.6,3.0,42.1
washington_in,3663.0,13.1,5.0,0.0,10529.0,37.6,6.0,0.0,12405.0,44.2,6.0,40.1
gonzales_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11435.0,54.9,15.0,33.7
waupaca_wi,7537.0,14.8,1.0,0.0,24322.0,47.7,3.0,0.0,28971.0,56.8,4.0,56.5
las animas_co,0.0,0.0,0.0,0.0,8006.0,55.2,16.0,0.0,9587.0,66.1,16.0,50.5
pima_az,193148.0,18.4,13.0,0.0,660732.0,63.1,16.0,0.0,841487.0,80.3,16.0,43.3
fulton_ga,62640.0,5.9,9.0,0.0,321384.0,30.2,9.0,0.0,682077.0,64.1,12.0,42.0
collingsworth_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0,41.6,14.0,46.2
rutland_vt,10467.0,18.0,5.0,0.0,38684.0,66.5,8.0,0.0,45716.0,78.6,8.0,56.6
norfolk_ma,125915.0,17.8,1.0,0.0,518766.0,73.4,4.0,0.0,656545.0,92.9,4.0,55.4
washington_ky,1494.0,12.4,9.0,0.0,5803.0,48.0,11.0,0.0,6877.0,56.9,12.0,43.2
waukesha_wi,72307.0,17.9,1.0,0.0,254710.0,63.0,4.0,0.0,305516.0,75.6,4.0,55.8
otsego_ny,7881.0,13.2,5.0,0.0,33056.0,55.6,8.0,0.0,39479.0,66.4,8.0,59.2
strafford_nh,552.0,0.4,1.0,0.0,78913.0,60.4,4.0,0.0,122988.0,94.1,4.0,22.4
monroe_in,19637.0,13.2,5.0,0.0,82678.0,55.7,8.0,0.0,95789.0,64.5,8.0,48.6
lake_co,0.0,0.0,0.0,0.0,4647.0,57.2,8.0,0.0,5504.0,67.7,8.0,46.4
humphreys_ms,959.0,11.9,13.0,0.0,4313.0,53.5,15.0,0.0,5502.0,68.2,16.0,36.5
midland_mi,15000.0,18.0,1.0,0.0,41584.0,50.0,3.0,0.0,50435.0,60.7,4.0,56.1
houston_ga,16438.0,10.4,9.0,0.0,61405.0,38.9,9.0,0.0,94297.0,59.7,12.0,29.6
doddridge_wv,109.0,1.3,5.0,0.0,568.0,6.7,5.0,0.0,5525.0,65.4,8.0,48.3
rockwall_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70406.0,67.1,4.0,35.0
bear lake_id,1177.0,19.2,1.0,0.0,2419.0,39.5,2.0,0.0,3104.0,50.7,3.0,36.2
crowley_co,0.0,0.0,0.0,0.0,1159.0,19.1,13.0,0.0,1391.0,23.0,13.0,44.8
henry_va,2475.0,4.9,13.0,0.0,8673.0,17.2,13.0,0.0,22618.0,44.7,14.0,20.4
sheridan_ne,335.0,6.4,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,10.0,51.2
utah_ut,45624.0,7.2,5.0,0.0,317678.0,49.9,6.0,0.0,412351.0,64.8,8.0,36.2
newton_ga,2876.0,2.6,9.0,0.0,17695.0,15.8,9.0,0.0,53825.0,48.2,11.0,35.6
guernsey_oh,4506.0,11.6,9.0,0.0,12355.0,31.8,10.0,0.0,18263.0,47.0,11.0,47.8
hart_ga,2538.0,9.7,9.0,0.0,7117.0,27.2,9.0,0.0,11796.0,45.0,10.0,38.0
st. joseph_mi,7844.0,12.9,9.0,0.0,23123.0,37.9,10.0,0.0,28619.0,46.9,11.0,48.0
franklin_ar,2871.0,16.2,9.0,0.0,8203.0,46.3,10.0,0.0,9519.0,53.7,11.0,35.7
baltimore_md,131732.0,15.9,5.0,0.0,542590.0,65.6,8.0,0.0,643346.0,77.8,8.0,51.1
brown_il,1134.0,17.2,5.0,0.0,2323.0,35.3,5.0,0.0,3869.0,58.8,8.0,47.7
knox_tn,63145.0,13.4,5.0,0.0,259919.0,55.3,7.0,0.0,311282.0,66.2,8.0,47.2
kingman_ks,1456.0,20.4,1.0,0.0,3127.0,43.7,2.0,0.0,3711.0,51.9,3.0,43.2
ballard_ky,672.0,8.5,5.0,0.0,2508.0,31.8,5.0,0.0,3300.0,41.8,6.0,53.1
victoria_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50124.0,54.4,15.0,37.2
goshen_wy,2084.0,15.8,5.0,0.0,4532.0,34.3,6.0,0.0,5854.0,44.3,6.0,46.0
frederick_va,5548.0,6.2,1.0,0.0,18820.0,21.1,1.0,0.0,51233.0,57.4,3.0,21.3
sumter_sc,14248.0,13.4,13.0,0.0,51566.0,48.3,14.0,0.0,67607.0,63.3,16.0,30.2
mohave_az,21477.0,10.1,13.0,0.0,86132.0,40.6,14.0,0.0,106253.0,50.1,15.0,38.5
dolores_co,0.0,0.0,0.0,0.0,804.0,39.1,2.0,0.0,975.0,47.4,3.0,46.8
mille lacs_mn,4497.0,17.1,9.0,0.0,13963.0,53.1,11.0,0.0,16334.0,62.2,12.0,44.4
stutsman_nd,4748.0,22.9,1.0,0.0,10463.0,50.5,3.0,0.0,12743.0,61.5,4.0,47.0
burlington_nj,74165.0,16.7,1.0,0.0,304664.0,68.4,4.0,0.0,382317.0,85.8,4.0,49.2
frontier_ne,47.0,1.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,70.4
