county_state,state,candidate_won,party,winner_votes,total_votes,pct_trump,pct_biden
yavapai_az,AZ,Donald Trump,REP,91527,143280,0.639,0.361
yuma_az,AZ,Donald Trump,REP,36534,69926,0.522,0.478
cochise_az,AZ,Donald Trump,REP,35557,60473,0.588,0.412
gila_az,AZ,Donald Trump,REP,18377,27678,0.664,0.336
graham_az,AZ,Donald Trump,REP,10749,14996,0.717,0.283
greenlee_az,AZ,Donald Trump,REP,2433,3688,0.66,0.34
la paz_az,AZ,Donald Trump,REP,5129,7460,0.688,0.312
mohave_az,AZ,Donald Trump,REP,78535,104705,0.75,0.25
aleutians east borough_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
aleutians west census area_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
anchorage municipality_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
bethel census area_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
bristol bay borough_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
denali borough_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
dillingham census area_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
fairbanks north star borough_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
haines borough_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
hoonah-angoon census area_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
juneau city and borough_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
kenai peninsula borough_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
ketchikan gateway borough_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
kodiak island borough_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
kusilvak census area_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
lake and peninsula borough_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
matanuska-susitna borough_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
nome census area_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
north slope borough_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
northwest arctic borough_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
petersburg borough_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
prince of wales-hyder census area_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
sitka city and borough_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
skagway municipality_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
southeast fairbanks census area_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
valdez-cordova_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
wrangell city and borough_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
yakutat city and borough_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
yukon-koyukuk census area_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
chugach census area_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
copper river census area_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
valdez-cordova census area_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
petersburg census area_ak,AK,Donald Trump,REP,189951,359530,0.528,0.428
androscoggin_me,ME,Donald Trump,REP,29268,59361,0.4985,0.4704
kennebec_me,ME,Joe Biden,DEM,34721,72615,0.4832,0.4857
sagadahoc_me,ME,Joe Biden,DEM,13528,24280,0.4058,0.5628
caledonia_vt,VT,Joe Biden,DEM,9011,16334,0.401,0.552
lamoille_vt,VT,Joe Biden,DEM,10240,15092,0.276,0.679
orleans_vt,VT,Joe Biden,DEM,7147,14215,0.458,0.503
kent_ri,RI,Joe Biden,DEM,18050,93093,0.4512,0.5276
washington_ri,RI,Joe Biden,DEM,44549,76060,0.392,0.5857
belknap_nh,NH,Donald Trump,REP,20899,38479,0.5431,0.439
cheshire_nh,NH,Joe Biden,DEM,25522,44370,0.4034,0.5752
coos_nh,NH,Donald Trump,REP,8617,16544,0.5209,0.4618
rockingham_nh,NH,Joe Biden,DEM,100064,199342,0.4809,0.502
berkshire_ma,MA,Joe Biden,DEM,51705,71771,0.2517,0.7204
bristol_ma,MA,Joe Biden,DEM,153377,281364,0.426,0.5451
dukes_ma,MA,Joe Biden,DEM,9914,12873,0.2044,0.7704
hampshire_ma,MA,Joe Biden,DEM,63362,88332,0.2522,0.7173
middlesex_ma,MA,Joe Biden,DEM,617196,869347,0.2611,0.71
suffolk_ma,MA,Joe Biden,DEM,270522,337240,0.1738,0.8022
middlesex_ct,CT,Joe Biden,DEM,56848,99203,0.4099,0.573
