,County_State,Pct_Hesitant_Feb22,Pct_Somewhat_Hesitant_Feb22,Pct_Highly_Hesitant_Feb22,Pct_Uninsured,SVI_Socio,SVI_HHDisab,SVI_Minority,SVI_HousingTransp,SVI_Overall,Dose1_Pop_Pct_030121,Series_Complete_Pop_Pct_030121,Dose1_Pop_Pct_090121,Series_Complete_Pop_Pct_090121,Dose1_Pop_Pct_030122,Series_Complete_Pop_Pct_030122,Booster_Doses_Vax_Pct_030122,SVI_Ctgy,Metro_Status,Census2019,Census2019_65PlusPop,Census2019_18to64Pop,State,Candidate_Won,Pct_Trump,Pct_Biden,Hesitant_nzip,Somewhat_Hesitant_nzip,Highly_Hesitant_nzip,Census2019_Pct_65Plus,Missing_March21,Missing_Sept21,Missing_March22,Dose1_Pop_Pct_090121_impute,Series_Complete_Pop_Pct_090121_impute,Cluster,county
1228,hawkins_tn,0.322,0.129,0.193,0.0907414630686855,0.7096717279529094,0.8172257544058721,0.1222178149711003,0.5001458778057516,0.5987122371547108,13.9,7.7,40.5,34.9,49.3,43.9,40.0,3.0,1.0,56786.0,12307.0,33394.0,TN,1.0,0.822,0.178,3.5420000000000003,1.419,2.123,0.2167259535801077,0,0,0,40.5,34.9,0,Hawkins County
1229,hayes_ne,0.32,0.073,0.247,0.104984093319194,0.4162,0.442,0.339,0.0572,0.1959,7.7,4.3,0.0,19.3,0.0,25.5,53.2,1.0,0.0,922.0,258.0,448.0,NE,1.0,0.922,0.078,2.24,0.511,1.729,0.279826464208243,0,1,1,3.85,19.3,2,Hayes County
1230,hays_tx,0.172,0.045,0.128,0.138834190546167,0.4510755018368846,0.2408735522899828,0.6074537511633603,0.5579504555473916,0.4683858986039677,0.0,0.0,0.0,0.0,72.3,61.4,38.4,2.0,1.0,230191.0,26187.0,151390.0,TX,0.0,0.456,0.544,1.892,0.495,1.408,0.1137620497760555,1,1,0,36.15,36.15,2,Hays County
1231,haywood_nc,0.174,0.086,0.088,0.1067794086012609,0.5085585358992604,0.6763073519434746,0.201245006867109,0.4903800473251369,0.4677310062383135,18.2,11.0,54.4,46.8,74.9,56.4,33.0,2.0,1.0,62317.0,15572.0,35396.0,NC,1.0,0.625,0.375,1.218,0.602,0.616,0.2498836593545902,0,0,0,54.4,46.8,1,Haywood County
1232,haywood_tn,0.228,0.073,0.155,0.1011867934079532,0.7476598908825018,0.7829075257326059,0.4964260757072951,0.5780401991113111,0.7309875471061364,14.4,8.1,48.4,38.9,59.9,51.6,40.0,4.0,0.0,17304.0,3415.0,10040.0,TN,0.0,0.461,0.539,1.368,0.4379999999999999,0.93,0.1973532131299121,0,0,0,48.4,38.9,0,Haywood County
1233,heard_ga,0.327,0.109,0.218,0.1240044531985955,0.7261512631669094,0.7304617966943565,0.2869520938597242,0.6106372270274899,0.6507407553309925,1.5,0.9,10.9,9.8,32.5,28.0,33.8,3.0,1.0,11923.0,2180.0,7104.0,GA,1.0,0.838,0.162,1.635,0.545,1.09,0.1828398892896083,0,0,0,10.9,9.8,2,Heard County
1234,hemphill_tx,0.254,0.086,0.169,0.2659443486825905,0.6416,0.8069,0.7478,0.8671,0.8321,0.0,0.0,0.0,0.0,47.4,41.7,37.5,3.0,0.0,3819.0,606.0,2060.0,TX,1.0,0.864,0.136,0.508,0.172,0.338,0.1586802827965436,1,1,0,23.7,23.7,2,Hemphill County
1235,hempstead_ar,0.321,0.085,0.236,0.0982832228176946,0.7152655872467981,0.8822707512035608,0.6326038423108366,0.5734516077754565,0.738400590426015,5.6,2.7,32.4,23.4,49.2,39.6,26.9,4.0,0.0,21532.0,3982.0,12010.0,AR,1.0,0.653,0.347,3.21,0.8500000000000001,2.36,0.1849340516440646,0,0,0,32.4,23.4,0,Hempstead County
1236,henderson_il,0.246,0.042,0.204,0.0659500290528762,0.4551654416037187,0.6851066531086578,0.0532231115630447,0.423317199302731,0.3629270191748983,13.1,7.0,45.8,38.6,55.2,47.9,44.8,1.0,0.0,6646.0,1687.0,3746.0,IL,1.0,0.655,0.345,4.182,0.7140000000000001,3.468,0.2538368943725549,0,0,0,45.8,38.6,0,Henderson County
1237,henderson_ky,0.319,0.11,0.209,0.0475106747296096,0.5843420248390663,0.7994240544465396,0.1594467802414547,0.5079938379175065,0.544369135401088,12.4,6.0,46.1,40.1,58.1,50.3,40.3,3.0,1.0,45210.0,8260.0,26653.0,KY,1.0,0.615,0.385,2.233,0.77,1.463,0.1827029418270294,0,0,0,46.1,40.1,0,Henderson County
