county_state,state,candidate_won,party,winner_votes,nonwinner_votes,total_votes,pct_trump,pct_biden
crockett_tx,TX,Donald Trump,REP,1220,354,1574,0.775,0.225
crosby_tx,TX,Donald Trump,REP,1396,557,1953,0.715,0.285
dallam_tx,TX,Donald Trump,REP,1389,220,1609,0.863,0.137
dawson_tx,TX,Donald Trump,REP,2951,838,3789,0.779,0.221
deaf smith_tx,TX,Donald Trump,REP,3294,1316,4610,0.715,0.285
delta_tx,TX,Donald Trump,REP,2162,430,2592,0.834,0.166
denton_tx,TX,Donald Trump,REP,222480,195484,417964,0.532,0.468
dewitt_tx,TX,Donald Trump,REP,6567,1551,8118,0.809,0.191
dickens_tx,TX,Donald Trump,REP,853,135,988,0.863,0.137
donley_tx,TX,Donald Trump,REP,1438,210,1648,0.873,0.127
eastland_tx,TX,Donald Trump,REP,7237,1055,8292,0.873,0.127
ector_tx,TX,Donald Trump,REP,32697,11884,44581,0.733,0.267
edwards_tx,TX,Donald Trump,REP,893,173,1066,0.838,0.162
ellis_tx,TX,Donald Trump,REP,56717,28776,85493,0.663,0.337
erath_tx,TX,Donald Trump,REP,13684,3169,16853,0.812,0.188
falls_tx,TX,Donald Trump,REP,4177,1956,6133,0.681,0.319
fannin_tx,TX,Donald Trump,REP,12171,2833,15004,0.811,0.189
fayette_tx,TX,Donald Trump,REP,10171,2770,12941,0.786,0.214
fisher_tx,TX,Donald Trump,REP,1448,378,1826,0.793,0.207
floyd_tx,TX,Donald Trump,REP,1584,455,2039,0.777,0.223
foard_tx,TX,Donald Trump,REP,445,106,551,0.808,0.192
franklin_tx,TX,Donald Trump,REP,4161,848,5009,0.831,0.169
freestone_tx,TX,Donald Trump,REP,6991,1720,8711,0.803,0.197
frio_tx,TX,Donald Trump,REP,2823,2456,5279,0.535,0.465
gaines_tx,TX,Donald Trump,REP,5355,640,5995,0.893,0.107
galveston_tx,TX,Donald Trump,REP,93911,61149,155060,0.606,0.394
garza_tx,TX,Donald Trump,REP,1413,240,1653,0.855,0.145
gillespie_tx,TX,Donald Trump,REP,12514,3332,15846,0.79,0.21
glasscock_tx,TX,Donald Trump,REP,611,42,653,0.936,0.064
goliad_tx,TX,Donald Trump,REP,3085,903,3988,0.774,0.226
gonzales_tx,TX,Donald Trump,REP,5627,2020,7647,0.736,0.264
gray_tx,TX,Donald Trump,REP,6840,942,7782,0.879,0.121
